School Year,School Level,School ID,School Name,State School ID,Zip Code,Grade PreK 3yrs,Grade PreK 4yrs,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian,Black or African American,Hispanic/Latino,Native Hawaiian or Other Pacific Islander,White,Male,Female,Economically Disadvantaged,Disability,Limited English Proficiency,Latitude,Longitude,Mapped Location
18-19,Charter,743,Valor Flagship Academy,8045,37211,,,,,,,,120,120,116,133,223,,,,,45,104,131,2,430,349,363,230,78,185,36.07080058,-86.72549463,"(36.07080058, -86.72549463)"
18-19,Middle School,545,Madison Middle,622,37115,,,,,,,,156,131,123,144,,,,,,2,316,166,,70,303,251,382,81,145,36.26389402,-86.71620849,"(36.26389402, -86.71620849)"
18-19,High School,450,Hume-Fogg High,355,37203,,,,,,,,,,,,222,228,224,209,4,95,206,57,1,520,338,545,81,36,3,36.15952461,-86.78153602,"(36.15952461, -86.78153602)"
18-19,Elementary School,575,Thomas A. Edison Elementary,208,37013,4,31,135,156,155,144,164,,,,,,,,,,19,281,214,1,274,406,383,377,79,314,36.06288453,-86.60463837,"(36.06288453, -86.60463837)"
18-19,Elementary School,185,Carter-Lawrence Elementary,670,37203,,17,44,44,58,52,63,,,,,,,,,1,2,225,19,1,30,139,139,162,31,37,36.14365344,-86.78585349,"(36.14365344, -86.78585349)"
18-19,High School,290,East Nashville School,203,37206,,,,,,,,,,,,172,180,190,145,1,5,631,18,,32,303,384,272,52,3,36.18062644,-86.75047137,"(36.18062644, -86.75047137)"
18-19,Charter,305,Explore Community School,8060,37206,,,68,76,68,68,,,,,,,,,,1,2,147,14,,116,129,151,127,38,4,36.17436415,-86.75164889,"(36.17436415, -86.75164889)"
18-19,Charter,501,KIPP Nashville College Prep Elementary,8085,37207,,,83,91,76,,,,,,,,,,,2,,224,18,,6,135,115,171,34,14,36.23825258,-86.80366466,"(36.23825258, -86.80366466)"
18-19,Middle School,783,Creswell Middle School of the Arts,700,37218,,,,,,,,111,94,85,101,,,,,2,1,336,10,,42,144,247,188,47,3,36.19606322,-86.83753939,"(36.19606322, -86.83753939)"
18-19,Charter,696,STEM Prep High School,8075,37210,,,,,,,,,,,,135,120,105,96,,9,70,261,,116,244,212,170,43,153,36.13541685,-86.73862237,"(36.13541685, -86.73862237)"
18-19,Middle School,238,Croft Middle,148,37211,,,,,,,,219,193,182,174,,,,,,21,160,369,,218,396,372,307,81,316,36.08747494,-86.73414769,"(36.08747494, -86.73414769)"
18-19,Middle School,355,Goodlettsville Middle,275,37072,,,,,,,,148,166,154,136,,,,,2,19,257,182,1,143,307,297,303,80,147,36.31815052,-86.71246409,"(36.31815052, -86.71246409)"
18-19,Middle School,563,John Trotwood Moore Middle,490,37204,,,,,,,,224,206,186,153,,,,,1,25,206,39,2,496,419,350,191,96,27,36.09577221,-86.80199502,"(36.09577221, -86.80199502)"
18-19,Elementary School,380,Julia Green Elementary,415,37215,,,104,87,82,94,73,,,,,,,,,1,28,24,11,1,375,230,210,37,48,12,36.10272398,-86.83311931,"(36.10272398, -86.83311931)"
18-19,Elementary School,145,Norman Binkley Elementary,525,37211,4,29,130,97,104,118,87,,,,,,,,,,38,60,298,1,172,266,303,307,59,312,36.07697621,-86.7484948,"(36.07697621, -86.7484948)"
18-19,Elementary School,200,Chadwell Elementary,105,37115,,20,57,59,69,68,82,,,,,,,,,2,5,192,113,,43,181,174,232,49,76,36.25637022,-86.74167109,"(36.25637022, -86.74167109)"
18-19,Elementary School,252,Dodson Elementary,165,37076,3,26,97,73,83,75,74,,,,,,,,,2,9,241,76,2,101,218,213,257,84,70,36.19090848,-86.60331793,"(36.19090848, -86.60331793)"
18-19,Elementary School,485,Jones Elementary,387,37208,,,40,54,54,49,56,,,,,,,,,,,248,3,,2,124,129,133,28,1,36.18115373,-86.80139789,"(36.18115373, -86.80139789)"
18-19,Charter,118,Brick Church College Prep,118,37207,,,,,,,,87,79,70,75,,,,,3,2,256,36,,14,169,142,241,11,47,36.22073858,-86.78175245,"(36.22073858, -86.78175245)"
18-19,High School,632,Pearl-Cohn High,555,37208,,,,,,,,,,,,148,135,143,119,1,,519,16,,9,262,283,397,131,14,36.1645404,-86.81513616,"(36.1645404, -86.81513616)"
18-19,High School,787,Whites Creek High School,704,37189,,,,,,,,,,,,146,153,152,159,,2,515,29,1,63,289,321,376,118,13,36.27664532,-86.81883299,"(36.27664532, -86.81883299)"
18-19,Charter,589,Nashville Academy of Computer Science,8055,37207,,,,,,,,69,68,67,66,,,,,1,,185,51,,33,171,99,164,63,35,36.23496427,-86.78246535,"(36.23496427, -86.78246535)"
18-19,High School,532,McGavock High,470,37214,,,,,,,,,,,1,553,579,539,479,6,60,855,388,5,837,1070,1081,871,286,174,36.18544319,-86.67784935,"(36.18544319, -86.67784935)"
18-19,Alternative Learning Center,116,W.A. Bass Alternative Learning Center,126,37209,,,,,,,,,,,,31,41,36,17,,1,107,7,,10,78,47,96,33,5,36.15458411,-86.85100166,"(36.15458411, -86.85100166)"
18-19,Charter,512,KA @ The Crossings MS,8105,37013,,,,,,,,91,73,73,35,,,,,,6,115,91,,60,135,137,115,26,123,36.04506646,-86.65158341,"(36.04506646, -86.65158341)"
18-19,High School,110,Antioch High School,20,37013,,,,,,,,,,,,478,473,513,446,1,87,684,709,1,428,1025,885,769,219,546,36.04667464,-86.59941833,"(36.04667464, -86.59941833)"
18-19,High School,440,Hillwood High,340,37205,,,,,,,,,,,,258,286,240,262,1,74,352,162,1,456,570,476,377,173,118,36.11880669,-86.8739002,"(36.11880669, -86.8739002)"
18-19,Middle School,510,Isaac Litton Middle,365,37216,,,,,,,,127,123,110,116,,,,,2,7,194,44,,229,252,224,199,79,31,36.22821545,-86.72215874,"(36.22821545, -86.72215874)"
18-19,Special Education,397,Harris-Hillman Special Education,302,37212,483,206,46,43,48,42,32,27,22,27,22,11,5,10,90,1,49,294,148,2,620,730,384,249,358,49,36.13759485,-86.80760421,"(36.13759485, -86.80760421)"
18-19,Elementary School,620,Park Avenue Elementary,545,37209,,39,51,64,60,65,82,,,,,,,,,1,,337,15,,8,188,173,291,53,14,36.1510157,-86.8296779,"(36.1510157, -86.8296779)"
18-19,Elementary School,165,Buena Vista Elementary,70,37208,,29,35,42,38,52,36,,,,,,,,,,,211,12,1,8,117,115,208,34,9,36.17774116,-86.79813805,"(36.17774116, -86.79813805)"
18-19,Elementary School,495,Tom Joy Elementary,635,37207,,38,70,64,69,67,77,,,,,,,,,,3,229,105,1,47,193,192,284,66,82,36.20864749,-86.75662302,"(36.20864749, -86.75662302)"
18-19,Elementary School,451,Hull-Jackson Elementary,350,37208,75,73,67,62,45,62,59,,,,,,,,,6,11,387,16,,23,212,231,228,38,9,36.19031869,-86.80717823,"(36.19031869, -86.80717823)"
18-19,Middle School,675,Rose Park Middle,595,37203,,,,,,,,125,116,104,94,,,,,,12,256,38,1,132,230,209,104,29,42,36.14240589,-86.78131452,"(36.14240589, -86.78131452)"
18-19,Middle School,100,Margaret Allen Middle,450,37210,,,,,,,,101,128,130,110,,,,,2,14,204,167,,82,234,235,257,70,204,36.14606234,-86.72164617,"(36.14606234, -86.72164617)"
18-19,Middle School,285,John Early Middle,386,37208,,,,,,,,64,60,73,90,,,,,,10,240,18,,19,156,131,237,53,11,36.18715342,-86.80471307,"(36.18715342, -86.80471307)"
18-19,Elementary School,310,J.E. Moss Elementary,370,37013,5,30,151,185,139,147,144,,,,,,,,,1,54,119,542,,85,407,394,395,80,470,36.06735338,-86.66974658,"(36.06735338, -86.66974658)"
18-19,Elementary School,560,Dan Mills Elementary,160,37216,3,32,121,101,104,97,92,,,,,,,,,3,8,81,80,1,377,280,270,130,57,51,36.21863826,-86.71708395,"(36.21863826, -86.71708395)"
18-19,Elementary School,784,Robert Churchwell Elementary,618,37208,,17,49,60,58,66,56,,,,,,,,,,,295,5,,6,156,150,275,51,8,36.17535384,-86.8094237,"(36.17535384, -86.8094237)"
18-19,Special Education,585,Murrell School,505,37210,,,,3,7,5,10,5,9,4,2,,,,,,,36,2,,7,37,8,37,44,2,36.13754885,-86.79002142,"(36.13754885, -86.79002142)"
18-19,Elementary School,460,Andrew Jackson Elementary,15,37138,5,28,92,82,89,113,92,,,,,,,,,,18,148,67,1,267,256,245,129,73,36,36.23158465,-86.62377469,"(36.23158465, -86.62377469)"
18-19,Charter,592,Nashville Classical,8044,37206,,,73,63,69,66,66,51,,,,,,,,1,3,265,30,,89,197,191,174,46,11,36.17997265,-86.74607311,"(36.17997265, -86.74607311)"
18-19,Elementary School,530,McGavock Elementary,465,37214,,20,52,55,57,52,53,,,,,,,,,1,6,97,96,1,88,147,142,154,34,97,36.160559,-86.68103494,"(36.160559, -86.68103494)"
18-19,Elementary School,717,Tulip Grove Elementary,637,37076,15,31,103,78,97,86,90,,,,,,,,,5,19,164,136,1,175,254,246,203,90,103,36.19849607,-86.61088893,"(36.19849607, -86.61088893)"
18-19,Adult,114,W. A. Bass Adult Program,125,37209,,,,,,,,,,,,46,10,157,47,2,14,171,34,1,38,119,141,145,62,75,36.15407313,-86.85187659,"(36.15407313, -86.85187659)"
18-19,Charter,687,Smithson Craighead Academy,8001,37115,,,32,36,40,40,38,,,,,,,,,,,88,87,1,10,87,99,106,30,59,36.25102507,-86.69661996,"(36.25102507, -86.69661996)"
18-19,Middle School,410,Head Middle,315,37203,,,,,,,,168,171,102,117,,,,,1,21,350,36,1,149,296,262,154,40,38,36.15860499,-86.80440551,"(36.15860499, -86.80440551)"
18-19,Elementary School,135,Bellshire Elementary,45,37207,17,43,65,53,47,68,56,,,,,,,,,,1,293,29,,26,161,188,254,58,29,36.26968766,-86.76230026,"(36.26968766, -86.76230026)"
18-19,Elementary School,335,Glengarry Elementary,255,37217,,17,83,61,78,72,68,,,,,,,,,1,5,55,256,1,61,194,185,209,35,237,36.11038989,-86.70642502,"(36.11038989, -86.70642502)"
18-19,Middle School,296,East Nashville Middle,296,37206,,,,,,,,77,95,94,85,,,,,,2,318,10,1,20,168,183,199,53,11,36.18886165,-86.73324272,"(36.18886165, -86.73324272)"
18-19,Charter,499,KIPP Academy Nashville Elementary,8095,37206,,,93,99,91,76,102,,,,,,,,,1,6,425,7,,22,232,229,409,69,7,36.16747626,-86.75191017,"(36.16747626, -86.75191017)"
18-19,Elementary School,496,A. Z. Kelley Elementary,1,37013,,40,153,148,173,175,151,,,,,,,,,,106,283,222,1,228,415,425,334,91,310,36.02181712,-86.65884778,"(36.02181712, -86.65884778)"
18-19,Middle School,540,McMurray Middle,480,37211,,,,,,,,206,220,211,199,,,,,2,78,140,535,,81,446,390,486,72,607,36.05637961,-86.7236925,"(36.05637961, -86.7236925)"
