School Year,School Level,School ID,School Name,State School ID,Zip Code,Grade PreK 3yrs,Grade PreK 4yrs,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian,Black or African American,Hispanic/Latino,Native Hawaiian or Other Pacific Islander,White,Male,Female,Economically Disadvantaged,Disability,Limited English Proficiency,Latitude,Longitude,Mapped Location
18-19,Charter,667,Rocketship Nashville Northeast Elementary,8050,37207,,,102,72,93,77,71,,,,,,,,,1,,294,108,,12,212,203,325,66,74,36.21364927,-86.7654224,"(36.21364927, -86.7654224)"
18-19,Middle School,805,Wright Middle,715,37211,,,,,,,,210,230,195,171,,,,,,34,138,517,,117,426,380,460,79,501,36.10010888,-86.73413342,"(36.10010888, -86.73413342)"
18-19,Elementary School,265,Dupont Elementary,180,37138,,36,65,69,63,73,65,,,,,,,,,2,5,99,40,,225,185,186,200,46,25,36.2613821,-86.65262579,"(36.2613821, -86.65262579)"
18-19,Elementary School,520,Lockeland Elementary,435,37206,,,55,60,58,57,58,,,,,,,,,,5,19,7,1,256,150,138,15,24,1,36.17622508,-86.73952049,"(36.17622508, -86.73952049)"
18-19,Charter,457,Intrepid College Prep Charter,8048,37013,,,,,,,,107,116,103,84,92,51,,,,6,135,336,,76,278,275,217,35,272,36.0501591,-86.64572008,"(36.0501591, -86.64572008)"
18-19,Elementary School,375,Alex Green Elementary,5,37189,,34,48,48,41,31,56,,,,,,,,,,,209,33,,16,120,138,190,21,25,36.2529607,-86.8322292,"(36.2529607, -86.8322292)"
18-19,Non-Traditional,613,The Academy at Opry Mills,612,37214,,,,,,,,,,,,,,,68,,,37,16,,15,39,29,28,6,6,36.20270057,-86.69207924,"(36.20270057, -86.69207924)"
18-19,Middle School,275,Dupont-Tyler Middle,185,37076,,,,,,,,170,124,139,145,,,,,5,16,250,148,1,158,294,284,297,90,138,36.19962251,-86.61259576,"(36.19962251, -86.61259576)"
18-19,Elementary School,710,Stratton Elementary,625,37115,,20,95,88,106,92,102,,,,,,,,,2,3,200,223,,75,257,246,311,47,191,36.26560267,-86.71768233,"(36.26560267, -86.71768233)"
18-19,Charter,660,RePublic High School,8100,37207,,,,,,,,,,,,235,151,121,118,1,4,387,184,,49,305,320,296,86,53,36.24209989,-86.77930926,"(36.24209989, -86.77930926)"
18-19,Elementary School,650,Percy Priest Elementary,570,37215,,,97,98,103,103,91,,,,,,,,,3,23,22,20,3,421,251,241,18,27,9,36.06158715,-86.83369522,"(36.06158715, -86.83369522)"
18-19,Elementary School,610,Old Center Elementary,535,37072,,40,64,61,66,72,60,,,,,,,,,1,4,166,129,,63,169,194,194,47,91,36.29120972,-86.73794896,"(36.29120972, -86.73794896)"
18-19,Elementary School,735,Una Elementary,655,37217,,40,142,157,160,129,136,,,,,,,,,,24,244,255,,241,391,373,368,67,365,36.09503036,-86.65288038,"(36.09503036, -86.65288038)"
